"PageLikes","PostType","ContentCategory","Month","Weekday","Hour","PaidAd","TotalReach","TotalImpressions","EngagedUsers","Comments","Likes","Shares","Interactions"
98195,"Photo","action",3,5,10,"No",4118,7355,546,1,28,7,36
98195,"Photo","action",3,5,4,"Yes",1845,2670,9,0,0,0,0
96749,"Photo","inspiration",3,2,9,"No",5338,9940,589,1,62,10,73
96749,"Photo","product",3,2,5,"No",5312,9411,603,0,48,20,68
96749,"Photo","action",3,7,10,"Yes",7220,12735,2348,6,88,24,118
96749,"Photo","action",3,7,5,"Yes",14320,21958,1850,2,59,6,67
93577,"Photo","action",2,6,6,"No",20528,33000,1876,3,148,21,172
93470,"Photo","action",2,5,12,"No",6416,11459,1362,0,96,29,125
93363,"Photo","action",2,5,6,"No",5786,10634,1237,4,49,15,68
93256,"Photo","inspiration",2,4,12,"No",5878,10508,1132,3,98,27,128
93149,"Photo","inspiration",2,4,3,"No",9528,16535,1383,14,198,70,282
93042,"Photo","inspiration",2,3,13,"No",8500,14157,1095,5,159,53,217
92935,"Photo","action",2,3,9,"Yes",3796,6737,949,1,22,6,29
92828,"Photo","action",2,3,6,"No",28128,42940,2283,6,154,18,178
92721,"Photo","inspiration",2,2,13,"No",7228,12627,1239,5,128,32,165
92614,"Photo","product",2,2,3,"Yes",5290,9100,1053,2,129,32,163
92400,"Photo","action",2,1,4,"No",5880,10115,1291,5,79,11,95
92293,"Photo","inspiration",2,7,13,"Yes",10040,17029,1429,19,214,78,311
91972,"Photo","inspiration",2,6,3,"No",6484,10832,1166,4,128,38,170
91865,"Photo","product",2,5,13,"Yes",4840,7466,949,3,47,21,71
91758,"Photo","product",2,5,3,"Yes",15880,51571,1188,1,200,37,238
91651,"Photo","action",2,4,12,"No",15288,31467,1573,5,264,36,305
91544,"Photo","inspiration",2,4,3,"No",9528,16779,1245,10,193,61,264
91437,"Link","action",2,3,13,"No",9356,14986,448,4,114,13,131
91330,"Photo","inspiration",2,3,3,"No",7732,13264,1066,7,160,57,224
91223,"Photo","action",2,2,13,"No",5240,8893,857,0,46,15,61
91116,"Photo","inspiration",2,2,4,"Yes",7132,12060,1004,4,136,42,182
91009,"Photo","action",2,1,12,"No",21928,39641,1512,0,73,13,86
86909,"Photo","inspiration",1,6,16,"Yes",5754,9238,1179,0,65,19,84
86909,"Link","action",1,6,4,"No",39600,7927,572,1,101,5,107
86909,"Photo","inspiration",1,5,13,"No",5536,8745,1141,1,74,31,106
86909,"Photo","inspiration",1,5,4,"No",6056,10325,1117,7,84,36,127
86909,"Photo","product",1,4,11,"No",11484,20696,1762,56,360,99,515
86491,"Link","action",1,4,4,"Yes",4938,7910,66,0,5,2,7
86491,"Photo","product",1,3,3,"No",5526,8779,1096,2,69,26,97
86491,"Photo","inspiration",1,2,7,"No",5040,8367,1062,2,82,24,108
86491,"Link","action",1,2,2,"No",5168,8371,66,0,12,2,14
85979,"Photo","inspiration",1,1,12,"No",5034,8030,1020,2,56,25,83
85979,"Photo","inspiration",1,1,2,"No",4908,7491,957,1,44,21,66
85979,"Photo","inspiration",1,7,10,"No",9700,17442,1407,21,277,80,378
85979,"Photo","inspiration",1,7,2,"No",4800,7754,975,1,74,28,103
85979,"Photo","inspiration",1,6,11,"No",5280,8703,951,1,79,30,110
85979,"Photo","inspiration",1,6,3,"Yes",6184,10228,956,1,105,46,152
85979,"Link","action",1,5,11,"No",45920,5808,753,0,128,9,137
85093,"Photo","inspiration",1,1,2,"No",8412,13960,1179,17,185,55,257
85093,"Photo","inspiration",1,7,10,"No",5400,9218,810,10,125,41,176
85093,"Photo","inspiration",1,7,2,"No",4684,7536,733,5,53,26,84
81370,"Photo","product",1,5,8,"No",3480,6229,537,0,53,22,75
81370,"Photo","action",1,5,2,"No",3778,7216,625,4,93,18,115
81370,"Photo","inspiration",1,4,11,"No",4156,7564,626,7,91,38,136
